ayah_id,ayah_text,normalized_text
39,قالوا سبحانك لا علم لنا إلا ما علمتنا ۖ إنك أنت العليم الحكيم,قالوا سبحانك لا علم لنا الا ما علمتنا ۖ انك انت العليم الحكيم
40,قال يا آدم أنبئهم بأسمائهم ۖ فلما أنبأهم بأسمائهم قال ألم أقل لكم إني أعلم غيب السماوات والأرض وأعلم ما تبدون وما كنتم تكتمون,قال يا ادم انبيهم باسمايهم ۖ فلما انباهم باسمايهم قال الم اقل لكم اني اعلم غيب السماوات والارض واعلم ما تبدون وما كنتم تكتمون
41,وإذ قلنا للملائكة اسجدوا لآدم فسجدوا إلا إبليس أبى واستكبر وكان من الكافرين,واذ قلنا للملايكه اسجدوا لادم فسجدوا الا ابليس ابي واستكبر وكان من الكافرين
42,وقلنا يا آدم اسكن أنت وزوجك الجنة وكلا منها رغدا حيث شئتما ولا تقربا هذه الشجرة فتكونا من الظالمين,وقلنا يا ادم اسكن انت وزوجك الجنه وكلا منها رغدا حيث شيتما ولا تقربا هذه الشجره فتكونا من الظالمين
43,فأزلهما الشيطان عنها فأخرجهما مما كانا فيه ۖ وقلنا اهبطوا بعضكم لبعض عدو ۖ ولكم في الأرض مستقر ومتاع إلى حين,فازلهما الشيطان عنها فاخرجهما مما كانا فيه ۖ وقلنا اهبطوا بعضكم لبعض عدو ۖ ولكم في الارض مستقر ومتاع الي حين
44,فتلقى آدم من ربه كلمات فتاب عليه ۚ إنه هو التواب الرحيم,فتلقي ادم من ربه كلمات فتاب عليه ۚ انه هو التواب الرحيم
45,قلنا اهبطوا منها جميعا ۖ فإما يأتينكم مني هدى فمن تبع هداي فلا خوف عليهم ولا هم يحزنون,قلنا اهبطوا منها جميعا ۖ فاما ياتينكم مني هدي فمن تبع هداي فلا خوف عليهم ولا هم يحزنون
46,والذين كفروا وكذبوا بآياتنا أولئك أصحاب النار ۖ هم فيها خالدون,والذين كفروا وكذبوا باياتنا اوليك اصحاب النار ۖ هم فيها خالدون
47,يا بني إسرائيل اذكروا نعمتي التي أنعمت عليكم وأوفوا بعهدي أوف بعهدكم وإياي فارهبون,يا بني اسراييل اذكروا نعمتي التي انعمت عليكم واوفوا بعهدي اوف بعهدكم واياي فارهبون
48,وآمنوا بما أنزلت مصدقا لما معكم ولا تكونوا أول كافر به ۖ ولا تشتروا بآياتي ثمنا قليلا وإياي فاتقون,وامنوا بما انزلت مصدقا لما معكم ولا تكونوا اول كافر به ۖ ولا تشتروا باياتي ثمنا قليلا واياي فاتقون
49,ولا تلبسوا الحق بالباطل وتكتموا الحق وأنتم تعلمون,ولا تلبسوا الحق بالباطل وتكتموا الحق وانتم تعلمون
50,وأقيموا الصلاة وآتوا الزكاة واركعوا مع الراكعين,واقيموا الصلاه واتوا الزكاه واركعوا مع الراكعين
51,أتأمرون الناس بالبر وتنسون أنفسكم وأنتم تتلون الكتاب ۚ أفلا تعقلون,اتامرون الناس بالبر وتنسون انفسكم وانتم تتلون الكتاب ۚ افلا تعقلون
52,واستعينوا بالصبر والصلاة ۚ وإنها لكبيرة إلا على الخاشعين,واستعينوا بالصبر والصلاه ۚ وانها لكبيره الا علي الخاشعين
53,الذين يظنون أنهم ملاقو ربهم وأنهم إليه راجعون,الذين يظنون انهم ملاقو ربهم وانهم اليه راجعون
54,يا بني إسرائيل اذكروا نعمتي التي أنعمت عليكم وأني فضلتكم على العالمين,يا بني اسراييل اذكروا نعمتي التي انعمت عليكم واني فضلتكم علي العالمين
55,واتقوا يوما لا تجزي نفس عن نفس شيئا ولا يقبل منها شفاعة ولا يؤخذ منها عدل ولا هم ينصرون,واتقوا يوما لا تجزي نفس عن نفس شييا ولا يقبل منها شفاعه ولا يوخذ منها عدل ولا هم ينصرون
56,وإذ نجيناكم من آل فرعون يسومونكم سوء العذاب يذبحون أبناءكم ويستحيون نساءكم ۚ وفي ذلكم بلاء من ربكم عظيم,واذ نجيناكم من ال فرعون يسومونكم سوء العذاب يذبحون ابناءكم ويستحيون نساءكم ۚ وفي ذلكم بلاء من ربكم عظيم
57,وإذ فرقنا بكم البحر فأنجيناكم وأغرقنا آل فرعون وأنتم تنظرون,واذ فرقنا بكم البحر فانجيناكم واغرقنا ال فرعون وانتم تنظرون
58,وإذ واعدنا موسى أربعين ليلة ثم اتخذتم العجل من بعده وأنتم ظالمون,واذ واعدنا موسي اربعين ليله ثم اتخذتم العجل من بعده وانتم ظالمون
59,ثم عفونا عنكم من بعد ذلك لعلكم تشكرون,ثم عفونا عنكم من بعد ذلك لعلكم تشكرون
60,وإذ آتينا موسى الكتاب والفرقان لعلكم تهتدون,واذ اتينا موسي الكتاب والفرقان لعلكم تهتدون
61,وإذ قال موسى لقومه يا قوم إنكم ظلمتم أنفسكم باتخاذكم العجل فتوبوا إلى بارئكم فاقتلوا أنفسكم ذلكم خير لكم عند بارئكم فتاب عليكم ۚ إنه هو التواب الرحيم,واذ قال موسي لقومه يا قوم انكم ظلمتم انفسكم باتخاذكم العجل فتوبوا الي باريكم فاقتلوا انفسكم ذلكم خير لكم عند باريكم فتاب عليكم ۚ انه هو التواب الرحيم
62,وإذ قلتم يا موسى لن نؤمن لك حتى نرى الله جهرة فأخذتكم الصاعقة وأنتم تنظرون,واذ قلتم يا موسي لن نومن لك حتي نري الله جهره فاخذتكم الصاعقه وانتم تنظرون
63,ثم بعثناكم من بعد موتكم لعلكم تشكرون,ثم بعثناكم من بعد موتكم لعلكم تشكرون
64,وظللنا عليكم الغمام وأنزلنا عليكم المن والسلوى ۖ كلوا من طيبات ما رزقناكم ۖ وما ظلمونا ولكن كانوا أنفسهم يظلمون,وظللنا عليكم الغمام وانزلنا عليكم المن والسلوي ۖ كلوا من طيبات ما رزقناكم ۖ وما ظلمونا ولكن كانوا انفسهم يظلمون
65,وإذ قلنا ادخلوا هذه القرية فكلوا منها حيث شئتم رغدا وادخلوا الباب سجدا وقولوا حطة نغفر لكم خطاياكم ۚ وسنزيد المحسنين,واذ قلنا ادخلوا هذه القريه فكلوا منها حيث شيتم رغدا وادخلوا الباب سجدا وقولوا حطه نغفر لكم خطاياكم ۚ وسنزيد المحسنين
66,فبدل الذين ظلموا قولا غير الذي قيل لهم فأنزلنا على الذين ظلموا رجزا من السماء بما كانوا يفسقون,فبدل الذين ظلموا قولا غير الذي قيل لهم فانزلنا علي الذين ظلموا رجزا من السماء بما كانوا يفسقون
67,وإذ استسقى موسى لقومه فقلنا اضرب بعصاك الحجر ۖ فانفجرت منه اثنتا عشرة عينا ۖ قد علم كل أناس مشربهم ۖ كلوا واشربوا من رزق الله ولا تعثوا في الأرض مفسدين,واذ استسقي موسي لقومه فقلنا اضرب بعصاك الحجر ۖ فانفجرت منه اثنتا عشره عينا ۖ قد علم كل اناس مشربهم ۖ كلوا واشربوا من رزق الله ولا تعثوا في الارض مفسدين
68,وإذ قلتم يا موسى لن نصبر على طعام واحد فادع لنا ربك يخرج لنا مما تنبت الأرض من بقلها وقثائها وفومها وعدسها وبصلها ۖ قال أتستبدلون الذي هو أدنى بالذي هو خير ۚ اهبطوا مصرا فإن لكم ما سألتم ۗ وضربت عليهم الذلة والمسكنة وباءوا بغضب من الله ۗ ذلك بأنهم كانوا يكفرون بآيات الله ويقتلون النبيين بغير الحق ۗ ذلك بما عصوا وكانوا يعتدون,واذ قلتم يا موسي لن نصبر علي طعام واحد فادع لنا ربك يخرج لنا مما تنبت الارض من بقلها وقثايها وفومها وعدسها وبصلها ۖ قال اتستبدلون الذي هو ادني بالذي هو خير ۚ اهبطوا مصرا فان لكم ما سالتم ۗ وضربت عليهم الذله والمسكنه وباءوا بغضب من الله ۗ ذلك بانهم كانوا يكفرون بايات الله ويقتلون النبيين بغير الحق ۗ ذلك بما عصوا وكانوا يعتدون
69,إن الذين آمنوا والذين هادوا والنصارى والصابئين من آمن بالله واليوم الآخر وعمل صالحا فلهم أجرهم عند ربهم ولا خوف عليهم ولا هم يحزنون,ان الذين امنوا والذين هادوا والنصاري والصابيين من امن بالله واليوم الاخر وعمل صالحا فلهم اجرهم عند ربهم ولا خوف عليهم ولا هم يحزنون
70,وإذ أخذنا ميثاقكم ورفعنا فوقكم الطور خذوا ما آتيناكم بقوة واذكروا ما فيه لعلكم تتقون,واذ اخذنا ميثاقكم ورفعنا فوقكم الطور خذوا ما اتيناكم بقوه واذكروا ما فيه لعلكم تتقون
71,ثم توليتم من بعد ذلك ۖ فلولا فضل الله عليكم ورحمته لكنتم من الخاسرين,ثم توليتم من بعد ذلك ۖ فلولا فضل الله عليكم ورحمته لكنتم من الخاسرين
72,ولقد علمتم الذين اعتدوا منكم في السبت فقلنا لهم كونوا قردة خاسئين,ولقد علمتم الذين اعتدوا منكم في السبت فقلنا لهم كونوا قرده خاسيين
73,فجعلناها نكالا لما بين يديها وما خلفها وموعظة للمتقين,فجعلناها نكالا لما بين يديها وما خلفها وموعظه للمتقين
74,وإذ قال موسى لقومه إن الله يأمركم أن تذبحوا بقرة ۖ قالوا أتتخذنا هزوا ۖ قال أعوذ بالله أن أكون من الجاهلين,واذ قال موسي لقومه ان الله يامركم ان تذبحوا بقره ۖ قالوا اتتخذنا هزوا ۖ قال اعوذ بالله ان اكون من الجاهلين
75,قالوا ادع لنا ربك يبين لنا ما هي ۚ قال إنه يقول إنها بقرة لا فارض ولا بكر عوان بين ذلك ۖ فافعلوا ما تؤمرون,قالوا ادع لنا ربك يبين لنا ما هي ۚ قال انه يقول انها بقره لا فارض ولا بكر عوان بين ذلك ۖ فافعلوا ما تومرون
76,قالوا ادع لنا ربك يبين لنا ما لونها ۚ قال إنه يقول إنها بقرة صفراء فاقع لونها تسر الناظرين,قالوا ادع لنا ربك يبين لنا ما لونها ۚ قال انه يقول انها بقره صفراء فاقع لونها تسر الناظرين
77,قالوا ادع لنا ربك يبين لنا ما هي إن البقر تشابه علينا وإنا إن شاء الله لمهتدون,قالوا ادع لنا ربك يبين لنا ما هي ان البقر تشابه علينا وانا ان شاء الله لمهتدون
78,قال إنه يقول إنها بقرة لا ذلول تثير الأرض ولا تسقي الحرث مسلمة لا شية فيها ۚ قالوا الآن جئت بالحق ۚ فذبحوها وما كادوا يفعلون,قال انه يقول انها بقره لا ذلول تثير الارض ولا تسقي الحرث مسلمه لا شيه فيها ۚ قالوا الان جيت بالحق ۚ فذبحوها وما كادوا يفعلون
79,وإذ قتلتم نفسا فادارأتم فيها ۖ والله مخرج ما كنتم تكتمون,واذ قتلتم نفسا فاداراتم فيها ۖ والله مخرج ما كنتم تكتمون
80,فقلنا اضربوه ببعضها ۚ كذلك يحيي الله الموتى ويريكم آياته لعلكم تعقلون,فقلنا اضربوه ببعضها ۚ كذلك يحيي الله الموتي ويريكم اياته لعلكم تعقلون
81,ثم قست قلوبكم من بعد ذلك فهي كالحجارة أو أشد قسوة ۚ وإن من الحجارة لما يتفجر منه الأنهار ۚ وإن منها لما يشقق فيخرج منه الماء ۚ وإن منها لما يهبط من خشية الله ۗ وما الله بغافل عما تعملون,ثم قست قلوبكم من بعد ذلك فهي كالحجاره او اشد قسوه ۚ وان من الحجاره لما يتفجر منه الانهار ۚ وان منها لما يشقق فيخرج منه الماء ۚ وان منها لما يهبط من خشيه الله ۗ وما الله بغافل عما تعملون
82,أفتطمعون أن يؤمنوا لكم وقد كان فريق منهم يسمعون كلام الله ثم يحرفونه من بعد ما عقلوه وهم يعلمون,افتطمعون ان يومنوا لكم وقد كان فريق منهم يسمعون كلام الله ثم يحرفونه من بعد ما عقلوه وهم يعلمون
83,وإذا لقوا الذين آمنوا قالوا آمنا وإذا خلا بعضهم إلى بعض قالوا أتحدثونهم بما فتح الله عليكم ليحاجوكم به عند ربكم ۚ أفلا تعقلون,واذا لقوا الذين امنوا قالوا امنا واذا خلا بعضهم الي بعض قالوا اتحدثونهم بما فتح الله عليكم ليحاجوكم به عند ربكم ۚ افلا تعقلون
84,أولا يعلمون أن الله يعلم ما يسرون وما يعلنون,اولا يعلمون ان الله يعلم ما يسرون وما يعلنون
85,ومنهم أميون لا يعلمون الكتاب إلا أماني وإن هم إلا يظنون,ومنهم اميون لا يعلمون الكتاب الا اماني وان هم الا يظنون
86,فويل للذين يكتبون الكتاب بأيديهم ثم يقولون هذا من عند الله ليشتروا به ثمنا قليلا ۖ فويل لهم مما كتبت أيديهم وويل لهم مما يكسبون,فويل للذين يكتبون الكتاب بايديهم ثم يقولون هذا من عند الله ليشتروا به ثمنا قليلا ۖ فويل لهم مما كتبت ايديهم وويل لهم مما يكسبون
87,وقالوا لن تمسنا النار إلا أياما معدودة ۚ قل أتخذتم عند الله عهدا فلن يخلف الله عهده ۖ أم تقولون على الله ما لا تعلمون,وقالوا لن تمسنا النار الا اياما معدوده ۚ قل اتخذتم عند الله عهدا فلن يخلف الله عهده ۖ ام تقولون علي الله ما لا تعلمون
88,بلى من كسب سيئة وأحاطت به خطيئته فأولئك أصحاب النار ۖ هم فيها خالدون,بلي من كسب سييه واحاطت به خطييته فاوليك اصحاب النار ۖ هم فيها خالدون
89,والذين آمنوا وعملوا الصالحات أولئك أصحاب الجنة ۖ هم فيها خالدون,والذين امنوا وعملوا الصالحات اوليك اصحاب الجنه ۖ هم فيها خالدون
90,وإذ أخذنا ميثاق بني إسرائيل لا تعبدون إلا الله وبالوالدين إحسانا وذي القربى واليتامى والمساكين وقولوا للناس حسنا وأقيموا الصلاة وآتوا الزكاة ثم توليتم إلا قليلا منكم وأنتم معرضون,واذ اخذنا ميثاق بني اسراييل لا تعبدون الا الله وبالوالدين احسانا وذي القربي واليتامي والمساكين وقولوا للناس حسنا واقيموا الصلاه واتوا الزكاه ثم توليتم الا قليلا منكم وانتم معرضون
91,وإذ أخذنا ميثاقكم لا تسفكون دماءكم ولا تخرجون أنفسكم من دياركم ثم أقررتم وأنتم تشهدون,واذ اخذنا ميثاقكم لا تسفكون دماءكم ولا تخرجون انفسكم من دياركم ثم اقررتم وانتم تشهدون
92,ثم أنتم هؤلاء تقتلون أنفسكم وتخرجون فريقا منكم من ديارهم تظاهرون عليهم بالإثم والعدوان وإن يأتوكم أسارى تفادوهم وهو محرم عليكم إخراجهم ۚ أفتؤمنون ببعض الكتاب وتكفرون ببعض ۚ فما جزاء من يفعل ذلك منكم إلا خزي في الحياة الدنيا ۖ ويوم القيامة يردون إلى أشد العذاب ۗ وما الله بغافل عما تعملون,ثم انتم هولاء تقتلون انفسكم وتخرجون فريقا منكم من ديارهم تظاهرون عليهم بالاثم والعدوان وان ياتوكم اساري تفادوهم وهو محرم عليكم اخراجهم ۚ افتومنون ببعض الكتاب وتكفرون ببعض ۚ فما جزاء من يفعل ذلك منكم الا خزي في الحياه الدنيا ۖ ويوم القيامه يردون الي اشد العذاب ۗ وما الله بغافل عما تعملون
93,أولئك الذين اشتروا الحياة الدنيا بالآخرة ۖ فلا يخفف عنهم العذاب ولا هم ينصرون,اوليك الذين اشتروا الحياه الدنيا بالاخره ۖ فلا يخفف عنهم العذاب ولا هم ينصرون
94,ولقد آتينا موسى الكتاب وقفينا من بعده بالرسل ۖ وآتينا عيسى ابن مريم البينات وأيدناه بروح القدس ۗ أفكلما جاءكم رسول بما لا تهوى أنفسكم استكبرتم ففريقا كذبتم وفريقا تقتلون,ولقد اتينا موسي الكتاب وقفينا من بعده بالرسل ۖ واتينا عيسي ابن مريم البينات وايدناه بروح القدس ۗ افكلما جاءكم رسول بما لا تهوي انفسكم استكبرتم ففريقا كذبتم وفريقا تقتلون
95,وقالوا قلوبنا غلف ۚ بل لعنهم الله بكفرهم فقليلا ما يؤمنون,وقالوا قلوبنا غلف ۚ بل لعنهم الله بكفرهم فقليلا ما يومنون
96,ولما جاءهم كتاب من عند الله مصدق لما معهم وكانوا من قبل يستفتحون على الذين كفروا فلما جاءهم ما عرفوا كفروا به ۚ فلعنة الله على الكافرين,ولما جاءهم كتاب من عند الله مصدق لما معهم وكانوا من قبل يستفتحون علي الذين كفروا فلما جاءهم ما عرفوا كفروا به ۚ فلعنه الله علي الكافرين
97,بئسما اشتروا به أنفسهم أن يكفروا بما أنزل الله بغيا أن ينزل الله من فضله على من يشاء من عباده ۖ فباءوا بغضب على غضب ۚ وللكافرين عذاب مهين,بيسما اشتروا به انفسهم ان يكفروا بما انزل الله بغيا ان ينزل الله من فضله علي من يشاء من عباده ۖ فباءوا بغضب علي غضب ۚ وللكافرين عذاب مهين
98,وإذا قيل لهم آمنوا بما أنزل الله قالوا نؤمن بما أنزل علينا ويكفرون بما وراءه وهو الحق مصدقا لما معهم ۗ قل فلم تقتلون أنبياء الله من قبل إن كنتم مؤمنين,واذا قيل لهم امنوا بما انزل الله قالوا نومن بما انزل علينا ويكفرون بما وراءه وهو الحق مصدقا لما معهم ۗ قل فلم تقتلون انبياء الله من قبل ان كنتم مومنين
99,ولقد جاءكم موسى بالبينات ثم اتخذتم العجل من بعده وأنتم ظالمون,ولقد جاءكم موسي بالبينات ثم اتخذتم العجل من بعده وانتم ظالمون
100,وإذ أخذنا ميثاقكم ورفعنا فوقكم الطور خذوا ما آتيناكم بقوة واسمعوا ۖ قالوا سمعنا وعصينا وأشربوا في قلوبهم العجل بكفرهم ۚ قل بئسما يأمركم به إيمانكم إن كنتم مؤمنين,واذ اخذنا ميثاقكم ورفعنا فوقكم الطور خذوا ما اتيناكم بقوه واسمعوا ۖ قالوا سمعنا وعصينا واشربوا في قلوبهم العجل بكفرهم ۚ قل بيسما يامركم به ايمانكم ان كنتم مومنين
101,قل إن كانت لكم الدار الآخرة عند الله خالصة من دون الناس فتمنوا الموت إن كنتم صادقين,قل ان كانت لكم الدار الاخره عند الله خالصه من دون الناس فتمنوا الموت ان كنتم صادقين
102,ولن يتمنوه أبدا بما قدمت أيديهم ۗ والله عليم بالظالمين,ولن يتمنوه ابدا بما قدمت ايديهم ۗ والله عليم بالظالمين
103,ولتجدنهم أحرص الناس على حياة ومن الذين أشركوا ۚ يود أحدهم لو يعمر ألف سنة وما هو بمزحزحه من العذاب أن يعمر ۗ والله بصير بما يعملون,ولتجدنهم احرص الناس علي حياه ومن الذين اشركوا ۚ يود احدهم لو يعمر الف سنه وما هو بمزحزحه من العذاب ان يعمر ۗ والله بصير بما يعملون
104,قل من كان عدوا لجبريل فإنه نزله على قلبك بإذن الله مصدقا لما بين يديه وهدى وبشرى للمؤمنين,قل من كان عدوا لجبريل فانه نزله علي قلبك باذن الله مصدقا لما بين يديه وهدي وبشري للمومنين
105,من كان عدوا لله وملائكته ورسله وجبريل وميكال فإن الله عدو للكافرين,من كان عدوا لله وملايكته ورسله وجبريل وميكال فان الله عدو للكافرين
106,ولقد أنزلنا إليك آيات بينات ۖ وما يكفر بها إلا الفاسقون,ولقد انزلنا اليك ايات بينات ۖ وما يكفر بها الا الفاسقون
107,أوكلما عاهدوا عهدا نبذه فريق منهم ۚ بل أكثرهم لا يؤمنون,اوكلما عاهدوا عهدا نبذه فريق منهم ۚ بل اكثرهم لا يومنون
108,ولما جاءهم رسول من عند الله مصدق لما معهم نبذ فريق من الذين أوتوا الكتاب كتاب الله وراء ظهورهم كأنهم لا يعلمون,ولما جاءهم رسول من عند الله مصدق لما معهم نبذ فريق من الذين اوتوا الكتاب كتاب الله وراء ظهورهم كانهم لا يعلمون
